jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;5711200;1022,47007;11;11;3;0;3;6;3;4;3;410;1
2019;5711300; ;11;22;-3;-3; ;3;2;3;-1;-1; 
2019;5711500;397,79464;11;11;2;0;2;4;3;4;3;410;1
2019;5711700;657,72289;11;11;1;0;1;3;2;3;3;210;1
2019;5711800;869,79112;11;11;1;0;1;7;2;4;2;101;2
2019;5711900;650,1498;11;11;2;0;2;6;2;3;2;101;2
2019;5712000;331,56348;11;11;1;0;1;9;1;1;1;101;2
2019;5712400; ;11;22;-3;-3; ;5;3;4;-1;-1; 
2019;5712500; ;11;22;-3;-3; ;3;2;4;-1;-1; 
2019;5712600; ;11;22;-3;-3; ;2;1;2;-1;-1; 
2019;5712700; ;11;28;-3;-3; ;9;1;1;-1;-1; 
2019;5713300; ;11;22;-3;-3; ;6;1;2;-1;-1; 
2019;5713400;1237,36277;11;11;1;0;1;2;2;3;3;103;1
2019;5713500;450,5129;11;11;1;0;1;3;3;4;3;420;2
2019;5713600; ;11;21;-3;-3; ;5;3;4;-1;-1; 
2019;5713800;1146,05985;11;11;3;1;3;2;3;4;3;430;2
2019;5713900;591,30484;11;11;1;0;1;3;3;4;2;410;2
2019;5714200;742,95589;11;11;1;0;1;6;1;2;2;101;2
2019;5714300;149,66612;11;11;2;1;2;6;3;4;3;410;2
2019;5714700;479,5732;11;11;2;0;2;1;3;4;3;430;1
2019;5714900;935,38061;11;11;4;0;4;6;2;4;2;101;1
2019;5715000; ;11;21;-3;-3; ;4;3;4;-1;-1; 
2019;5715100;432,47287;11;11;1;0;1;9;1;1;1;101;2
2019;5715500; ;11;22;-3;-3; ;4;3;4;-1;-1; 
2019;5715600;284,15539;11;11;1;0;1;9;1;1;1;101;2
2019;5715900;566,84812;11;11;4;2;4;6;3;4;3;420;1
2019;5716000; ;11;22;-3;-3; ;3;3;4;-1;-1; 
2019;5716400;510,99514;11;11;2;0;2;7;3;4;2;103;2
2019;5716500;315,28163;11;11;1;0;1;9;1;1;1;101;1
2019;5716800; ;-3;-3;-3;-3; ;9;1;1;-1;-1; 
2019;5717000;554,22988;11;11;4;2;4;3;3;4;2;410;1
2019;5717300;269,64355;11;11;1;0;1;9;1;1;1;101;2
2019;5717301; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5717600;413,89799;11;11;4;2;4;1;3;4;3;410;2
2019;5717700;1410,18825;11;11;3;0;3;3;2;3;2;102;1
2019;5717800;496,58931;11;11;1;0;1;5;3;4;3;420;1
2019;5717900;186,97966;11;11;2;0;2;2;3;4;3;410;2
2019;5718100;921,07078;11;11;1;0;1;6;1;2;2;101;2
2019;5718400; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5718500;804,25853;11;11;2;0;2;7;3;4;3;410;2
2019;5718800; ;-3;-3;-3;-3; ;9;1;1;-1;-1; 
2019;5718900;500,41832;11;11;1;0;1;4;3;4;3;410;1
2019;5719200;685,37097;11;11;2;0;2;9;1;1;1;101;2
2019;5719300;658,0568;11;11;2;0;2;9;1;1;1;101;2
2019;5719700;372,78378;11;11;1;0;1;6;2;3;2;310;2
2019;5719800;599,38014;11;11;2;0;2;7;3;4;3;310;2
2019;5719900;670,14975;11;11;3;1;3;3;3;4;3;420;1
2019;5720200; ;11;22;-3;-3; ;3;2;4;-1;-1; 
